hotelId,hotelName,city,phone,agent,dogFriendly,weightSizeLimit,maxDogs,dogFee,areasPermitted,areasNotPermitted,allowedInRoomWithoutOwners,dogAmenetiesProvided,walkTypesNearHotel,grassAreaNearHotel,enclosedGarden,dogsAllowedAtBreakfast
TGLON215,Travelodge London Chigwell,London,,,Y,N,2,£20 per pet,Specific to each TL but not in Restuarant 'Bar Cafe',Bar Cafe,No,Not typically ,Suburbs 0.5 miles to Hainault Forest Country Park ,N,N/A,Dogs not permitted in resturant 
TGLON245,Travelodge London Snaresbrrok ,London,,,Y,N,2,£20 per pet,Specific to each TL but not in Restuarant 'Bar Cafe',Bar Cafe,No,Not typically ,Suburbs 0.3 miles to Epping Forest ,N,N/A,Dogs not permitted in resturant 
TGTTK724,Travelodge London Ilford,London,,,Y,N,2,£20 per pet,Specific to each TL but not in Restuarant 'Bar Cafe',Bar Cafe,No,Not typically ,Suburbs 0.4 miles to Valentine's park ,N,N/A,Dogs not permitted in resturant 
,Travelodge London Walthamstow ,London,,,Y,N,2,£20 per pet,Specific to each TL but not in Restuarant 'Bar Cafe',Bar Cafe,No,Not typically ,City Centre 0.2 miles to Lloyd Park ,N,N/A,Dogs not permitted in resturant 
,Travelodge London Edmonton ,London,,,Y,N,2,£20 per pet,Specific to each TL but not in Restuarant 'Bar Cafe',Bar Cafe,No,Not typically ,City Centre 0.3 miles to Valentines Park ,Y,N/A,Dogs not permitted in resturant 
,Travellodge London Enfield ,London,,,Y,N,2,£20 per pet,Specific to each TL but not in Restuarant 'Bar Cafe',Bar Cafe,No,Not typically ,Suburbs 0.1 miles to Pymmes Park ,Y- but next to a road,N/A,Dogs not permitted in resturant 
,Travelodge London Barking ,London,,,Y,N,2,£20 per pet,Specific to each TL but not in Restuarant 'Bar Cafe',Bar Cafe,No,Not typically ,Suburbs 0.5 miles to Enfield Town Park ,N,N/A,Dogs not permitted in resturant 
,Travelodge London Stratford,London,,,Y,N,2,£20 per pet,Specific to each TL but not in Restuarant 'Bar Cafe',Bar Cafe,No,Not typically ,City Centre 0.3 miles to Queen Elizabeth Olympic Park ,N,N/A,Dogs not permitted in resturant 
,Traveldoge London Beckton ,London,,,Y,N,2,£20 per pet,Specific to each TL but not in Restuarant 'Bar Cafe',Bar Cafe,No,Not typically ,Suburbs 0.2 miles to Beckton District Park ,N,N/A,Dogs not permitted in resturant 
TGLBA571,Travelodge Sheffield Central,Sheffield ,,,Y,N,2,£20 per pet,Specific to each TL but not in Restuarant 'Bar Cafe',Bar Cafe,No,Not typically ,City Centre 0.4 miles to Norfolk Heritage Park ,Y,N/A,Dogs not permitted in resturant 
TGLBA537,Travelodge Shefield Richmond ,Sheffield ,,,Y,N,2,£20 per pet,Specific to each TL but not in Restuarant 'Bar Cafe',Bar Cafe,No,Not typically ,Suburbs 0.6 miles to Richmond Park ,Y,N/A,Dogs not permitted in resturant 
,Travelodge Sheffield Meadowhall ,Sheffield ,,,Y,N,2,£20 per pet,Specific to each TL but not in Restuarant 'Bar Cafe',Bar Cafe,No,Not typically ,Industrial Estae 0.5 miles to Tinsley Canal Towpath ,N,N/A,Dogs not permitted in resturant 
,Travelodge Chesterfield ,Chesterfield ,,,Y,N,2,£20 per pet,Specific to each TL but not in Restuarant 'Bar Cafe',Bar Cafe,No,Not typically ,City Centre 0.3 miles to Queen's Park- Private dog field to hire near by ,Y,N/A,Dogs not permitted in resturant 
TGFFD526,Travelodge Barnsley ,Barnsley ,,,Y,N,2,£20 per pet,Specific to each TL but not in Restuarant 'Bar Cafe',Bar Cafe,No,Not typically ,City Centre- 0.4 miles to Locke Park ,Y,N/A,Dogs not permitted in resturant 
,Travelodge London Central Waterloo,London,,,Y,N,2,£20 per pet,Specific to each TL but not in Restuarant 'Bar Cafe',Bar Cafe,No,Not typically ,City Centre 0.2 miles to Jubilee Gardens ,N,N/A,Dogs not permitted in resturant 
TGBHX524,Travelodge Birimingham Central,Birmingham,,,Y,N,2,£20 per pet,Specific to each TL but not in Restuarant 'Bar Cafe',Bar Cafe,No,Not typically ,City Centre 0.3 miles to St Thomas's Peace Gadrens ,N,N/A,Dogs not permitted in resturant 
,Travelodge Manchester Ancoats ,Manchester ,,,Y,N,2,£20 per pet,Specific to each TL but not in Restuarant 'Bar Cafe',Bar Cafe,No,Not typically ,City Centre 0.4 miles to Cotton Field Park ,N,N/A,Dogs not permitted in resturant 
,Travelodge York Hull Road ,York ,,,Y,N,2,£20 per pet,Specific to each TL but not in Restuarant 'Bar Cafe',Bar Cafe,No,Not typically ,Suburbs 0.5 miles to hill Road Park ,Y,N/A,Dogs not permitted in resturant 
,Travelldoge Cambridge Newmarket Road ,Cambridge ,,,Y,N,2,£20 per pet,Specific to each TL but not in Restuarant 'Bar Cafe',Bar Cafe,No,Not typically ,Suburbs 0.6 miles to Coldham's Common ,Y,N/A,Dogs not permitted in resturant 
,Travelodge Bath Waterside ,Bath ,,,Y,N,2,£20 per pet,Specific to each TL but not in Restuarant 'Bar Cafe',Bar Cafe,No,Not typically ,City Centre 0.1 miles to Kennet and Avon Canal Path ,Y,N/A,Dogs not permitted in resturant 
TGOXF169,Travelodge Oxford Pear Tree,Oxford ,,,Y,N,2,£20 per pet,Specific to each TL but not in Restuarant 'Bar Cafe',Bar Cafe,No,Not typically ,Suburbs 0.2 miles to Cutteslow and Sunnymead park ,Y- close to road,N/A,Dogs not permitted in resturant 
TGEDI129,Travelodge Edinburgh Central ,Edinburgh ,,,Y,N,2,£20 per pet,Specific to each TL but not in Restuarant 'Bar Cafe',Bar Cafe,No,Not typically ,City Centre 0.3 miles to Calton Hill ,N,N/A,Dogs not permitted in resturant 
,Travelodge Cardiff Atlantic Wharf ,Cardiff,,,Y,N,2,£20 per pet,Specific to each TL but not in Restuarant 'Bar Cafe',Bar Cafe,No,Not typically ,City Centre 0.4 miles to Bute Park ,N,N/A,Dogs not permitted in resturant 
TGBFS900,Travelodge Belfast Central ,Belfast ,,,Y,N,2,£20 per pet,Specific to each TL but not in Restuarant 'Bar Cafe',Bar Cafe,No,Not typically ,City Centre 0.5 miles to Botanic Gardens ,N,N/A,Dogs not permitted in resturant 
,Malmaison Aberdeen,Aberdeen,01224 507097,,Y,Small/ Medium Size,2,£25 per pet or £40 for 2,Bar area & Lobby,all other areas including main resturant ,No,Yes ,0.5 miles to Rubislaw Terrace Gardens,N,N/A,In the bar area
GZBHXMAL,Malmasion Birmingham,Birmingham,0121 794 3004,,Y,Small/ Medium Size,2,£25 per pet or £40 for 2,Bar area & Lobby,all other areas including main resturant ,No,Yes ,0.5 miles to Eastside City Park,N,N/A,In the bar area
,Malmasion Belfast,Belfast ,028 9600 1405,,Y,Small/ Medium Size,2,£25 per pet or £40 for 2,Bar area- if not too busy and lobby ,all other areas including main resturant ,No,Yes ,0.4 miles to Ormeau Park,N,N/A,In the bar area
,Malmasion Brighton,Brighton,01273 041482,,Y,Small/ Medium Size,2,£25 per pet or £40 for 2,Everywhere but resturant and two signature suites,See left,No,Yes ,0.1 miles to Brighton Marina,N,N/A,In the bar area
GZEDIMAL,Malmasion Edinburgh ,Edinburgh ,01242 370655,,Y,Small/ Medium Size,2,£25 per pet or £40 for 2,Specific to each hotel but mostly no ,Most public areas ,No,Yes ,0.1 miles to Water of Leith Walkway,N,N/A,
,Malmasion Dundee,Dundee,01382 339715,,Y,Small/ Medium Size,2,£25 per pet or £40 for 2,Bar area & Lobby,all other areas including main resturant ,No,Yes ,Approximately 0.2 miles to Slessor Gardens,Y,N/A,In the bar area
,Malmasion Glasgow,Glasgow,0141 378 0383,,Y,Small/ Medium Size,2,£25 per pet or £40 for 2,Bar area & Lobby,Most public areas ,No,Yes ,0.4 miles to Kelvingrove Park,N,N/A,In the bar area
GZLPLMAL,Malmasion Liverpool ,Liverpool,0151 363 3640,,Y,Small/ Medium Size,2,£25 per pet or £40 for 2,Bar area & Lobby,Most public areas ,No,Yes ,0.3 miles to Princes Dock,N,N/A,In the bar area
GZLONMAL,Malmasion London ,London,020 7012 3700,,Y,Small/ Medium Size,2,£25 per pet or £40 for 2,Bar area & Lobby,Most public areas ,No,Yes ,0.3 miles to Finsbury Square Garden,Y,N/A,In the bar area
GZMANMAL,Malmasion Manchester ,Manchester ,0161 641 1883,,Y,Small/ Medium Size,2,£25 per pet or £40 for 2,Bar area & Lobby,Most public areas ,No,Yes ,0.4 miles to Ormeau Park,N,N/A,In the bar area
,Malmasion Manchester Deans Gate ,Manchester ,0161 509 9160,,Y,Small/ Medium Size,2,£25 per pet or £40 for 2,Bar area & Lobby,Most public areas ,No,Yes ,0.5 miles to Rubislaw Terrace Gardens,N,N/A,In the bar area
GZNCLMAL,Malmasion Newcastle ,Newcastle,0191 389 8627,,Y,Small/ Medium Size,2,£25 per pet or £40 for 2,Bar area & Lobby,Most public areas ,No,Yes ,0.2 miles to Newcastle Quayside,N,N/A,In the bar area
,Malmasion Oxford ,Oxford ,01865 268400,,Y,Small/ Medium Size,2, £25 per pet or £40 for 2,Bar area & Lobby,Most public areas ,No,Yes ,0.2 miles to Oxford Castle Gardens,Y,N/A,In the bar area
,Malmasion Reading ,Reading ,0118 334 1331,,Y,Small/ Medium Size,2,£25 per pet or £40 for 2,Bar area & Lobby,Most public areas ,No,Yes ,0.3 miles to Forbury Gardens,N,N/A,In the bar area
,Malmasion York ,York ,01904 946 060,,Y,Small/ Medium Size,2,£25 per pet or £40 for 2,Bar area & Lobby,Most public areas ,No,Yes ,0.4 miles to Museum Gardens,Y ,N/A,In the bar area
,Malmasion Cheltenham ,Cheltenham,01242 370655,,Y,Small/ Medium Size,2,£25 per pet or £40 for 2,Bar area & Lobby,Most public areas ,No,Yes ,Approximately 0.1 miles to Montpellier Gardens,Y ,N/A,In the bar area
,Innside By Melia Newcastle,Newcastle,0191 338 7710,,Y ,No,2,£30 per dog per night ,Lobby/ Ginos Bar area and lounge  ,all other areas including main resturant ,Yes,Dog bed and bowl,0.3 miles to Riverside Park,Y ,N/A,Ginos Restuarant 
,Innside By Melia Manchester ,Manchester ,0161 200 2500,,Y,15kg ,2,£30,All other areas ,Wellness and spa area,No,"Bed, bowl treat toy",0.5 miles to All Saints Park,Y,N/A ,They have their own designated area at the bar within the restaurant to eat their breakfast.
,Innside By Melia Liverpool ,Liverpool,(0)151 832 0960,,Y,15 Kg,2,£30,rooms and lounge area,All other areas including main restaurant apart from at breakfast ,No,"Bed, bowl treat toy",Bixteth Street.,Y,N/a,Lounge or restuarant- lounge recommended 
,Melia White House ,London,(0)20 7391 3000,,Y,small dogs only,2,£50,Room only,Level Lounge but only after breakfast. The lobby,Yes,bed and a bowl,,N,N/a,No
,Melia Kensington London,London,,,N,,,,,,,,,,,
,ME Melia London ,London,44 207 395 3400,,Y,N/a,2,£50 per pet,Information Not Provided ,"Pets cannot access hotel restaurants, gym areas or other areas where food and drink are present.",No,Food and water bowls filled with bottled water and a personalised welcome amenity- In room dinin menu for dog,,,,
GZDSAHVH,Hotel Du Vin Harrogate ,Harrogate ,44 (01423608121,,Y ,No,2,£25 for 1 £40 for 2 per night ,all other areas ,Bistro,No,"dog bed, blanket, a bowl, and a dog pack including treats and a ball",Approximately 0.1 miles to The Stray,Y,N/A,Yes bar and lounge area
GZLBAHVY,Hotel du vin York,York,(0)1904 557350,,Y ,No,2,£25 for 1 £40 for 2 per night ,all other areas ,Bistro,No,No,Backs onto a park,Y,N/A,"Courtyard, Bar, Lounge "
,Hotel du vin Glasgow,Glasgow ,0141 3392001,,Y ,No,2,£25 for 1 £40 for 2 per night ,all other areas ,The resturant ,Y,"dog bed, blanket, a bowl, and a dog pack including treats and a ball",Botanic Gardens ,Y,N/A,Bar area
,Hotel du vin  Exeter,Exeter ,,,Y ,No,No limit,£25 per dog per night ,All other areas ,Pool & resturant ,Y,"dog bed, blanket, a bowl, and a dog pack including treats and a ball",Bull Meadow Park ,Y,Enclosed hotel gadren,Bar or library 
,Hotel du vin Newcastle,Newcastle ,(0) 191 389 86 28,,Y ,Small/Medium,2,£25 for 1 £40 for 2 per night ,"Reception, bar lounge",Resturant ,No,"dog bed, blanket, a bowl, and a dog pack including treats and a ball",,Y,N/a,Lounge Area
GZBSHDVB,Hotel du vin Brighton,Brighton,(0) 1273855221,,Y ,no,2,£25 for 1 £40 for 2 per night ,Bar,All other areas,No,Dog basket & bowl,,Y,N/a,Bar area
MCBRSDTN,Hotel du vin  Bristol City Centre,Bristol ,,,Y ,No,2,£25 for 1 £40 for 2 per night ,Sugar BAr,All other areas,No,Dog bowl,,Y,N/a,Sugar bar
GZLGWVTW,Hotel du vin Tunbridge Wells,Tunbridge Wells,(0) 1892 320749,,Y ,No,2,£25 for 1 £40 for 2 per night ,"Bar, Terrace, Garden",Bistro & Tea Lounge ,No,"dog bed, blanket, a bowl, and a dog pack including treats and a ball",,Y-Hotel Garden,N/a,Bar/ terrace in summer
,Hotel du vin Henley,Oxfordshire,0) 1491877579,,Y ,No,3,£25 per dog per night ,"Bar, Snug, Courtyard and your room - Everywhere apart from the restaurant",Bistro,No,"dog bed, blanket, a bowl, and a dog pack including treats and a ball",,No,N/a,Snug area
GZBOHHDV,Hotel du vin Poole ,Poole,(0)1202 785 570,,Y ,Medium sized,2,£25,Everywhere except the bistro,Bistro,No,"bed, bowls and treat bag",Hamworthy park and Baiter Park are both an 18 minute walk away.,Y ,N/A,Bar area
,Hotel du vin Cambridge,Cambridge ,(0) 1223 928 991,,Y,No,2,£25,Classic rooms & Bar,Restaurant  & other room types ,Yes ,Dog and matt ,"Coe Fen, Parker's piece and midsummer common",No,No,Bar area
GZEDIHDV,Hotel du vin Edinburgh,Edinburgh ,0)1312474900,,Y,No,2,£25 for 1 or £40 for 2,Whisky Snug or Bar.,Dinings areas,No,dog bed and a dog bowl,,,No,Whisky Snug or Bar.
GZBHXDVB,Hotel du vin Birmingham,Birmingham,(0) 1217943005,,Y,No,2,£25 for 1 or £40 for 2 per night,All other areas ,Bistro,No,"mats, beds, and bowls.",,Y,N/A,Bubble Lounge Bar
,Hotel du vin Bristol Avon Gorge,Bristol,(0) 1179738955,,Y,No,2,£25 for 1 dog. £40 for 2 dogs,Everywhere except the bistro,Restuarant,No,"Bed , bowl , treats",,Y,N/a,Yes in a seperate area
,Hotel du vin Chelentham,Cheltenham,,,Y,Small or Medium,2,£25 for 1 or £40 for 2,Most areas,Dining room,No,"provide a bed suitable for a small to medium sized dog, a protective mat, 2 dog bowls and a treat bag that includes ‘poo bags’",Countryside/ Town centre,?,N/A,Lounge Area
,Hotel du vin Wimbledon,London,,,Y,No,2,£25 per dog per day,Room & Lounge Area,Restaurant; Orangery,Y,"bowl,bed,treats,poo bags",Richmond Park,Y,N/A,Lounge Area
GZSOUDVW,Hotel du vin Winchester,Winchester ,,,Y,No,2,£25,"Courtyard, Bar, Reception",Bistro,Y,Bed and Bowls,,Y,N/A,Bar
GZLHRHVH,Hotel du vin Henley On Thames,Oxfordshire,(0) 1491877579,,Y,Small or Medium,2,£25 per room per night for 1 dog or £40 for 2 dogs ,Bar and snug,Bistro,No,"provide a bed suitable for a small to medium sized dog, a protective mat, 2 dog bowls and a treat bag that includes ‘poo bags’",,Y,N/A,Bar and Snug
GZADXSTA,Hotel du vin St Andrews,,,,,,,,,,,,,,,
PIBHXBAU,Hotel du vin Stratford upon avon,,,,,,,,,,,,,,,
,Haycock Hotel,Peterborough ,01780 782223,N/A,Y,No,2,£25,In our patio rooms – Classic rooms – the bar and we have a dog friendly part of our brasserie restaurant,Deluxe rooms – Historic rooms – Suites – our Prevost restaurant,If the dog is ok to be left on its own and doesn’t bark and disturb other guests,water bowl and food bowl and a soft blanket bed,,"We do have a garden, but this isn’t fully secure (low walls – gate that’s normally open)",,Dogs are allowed in the breakfast restaurant
,Gibbon Bridge Hotel,Preston,(0) 1995 61456,N/A,Y,No,2,30,your room and the outside areas of the hotel,"main hotel, bar, lounge, dining room and gardens of the hotel",Yes,No,,Dogs not allowed in the garden of the hotel ,N/A,No
,Fence Gate Lodge ,Burnley ,01282 509555,N/A,Y ,Our superior doubles are suitable for one to two medium sized dogs and we have one junior suite which again is suitable for one to two medium to large size dogs. All these dog friendly rooms are ground floor.,2,£20 per dog,"reception and all ground floor public areas apart from the breakfast room seperate building the Fence Gate Inn which is a short two minute walk to our bar and restaurant. Dogs are very welcome in the bar area if you would like to dine with us,",Our upper floor is out of bounds for four paws including public areas and rooms and restaurant ,Yes,"this includes dog bed, towel for any muddy paws or for drying off if the weather is damp or raining, dog bowls, dog bonio on arrival and a sausage for breakfast for the dog",,Y ,N/a,Yes 
,Fishmore Hall Hotel & Boutique Spa,Shropshire,01584 875148,N/a,Y ,No,3,£30,All areas except dining room,dining room,Yes,bowls and towels,,Y ,N/a,Yes in Blue room (same for all meals) 
,penyvoelhal Llanymynech,Llanymynech Wales,07365 281384,James,Y,No,2,£10,Everywhere,N/A,No,bowls,2 acres of land ,Y ,We have 2 acres of land which is safe and excluded. Dogs are allowed to be in the garden.,Yes if the dog can behave around other guests 
,Aloft TECA Aberdeen,Aberdeen,,,Y,No,2,£35 per stay,Everywhere,Not near the breakfast buffet,No,"dog beds, bowls, toys and treats all available on request",Field 30 seconds walk away ,Field 30 seconds walk away ,No,Yes in restuarant 
,Abbey Hotel,Bath,,,Y,No,2,£35 per stay,Everywhere but restuarant and newly refurbed areas, restuarant and newly refurbed areas,No,Bed and Bowls,,N,N/a,Bar area
,Ac Marriott Belfast ,Belfast ,,,Y,N/A,2,£10.00 per pet per day,"Lobby, outdoor terrace, bar/bar lounge",Novelli’s restaurant due to food safety legislation,No,Yes on request ,There is a public park/walkway along the river behind the hotel/other side of riverbank.,Y ,N/a,Bar area
,Fitzherbert farmhouse,Swynterton Staffordshire,1782796782,Kelly ,Y ,N/A,2,£15 per dog ,"Bomfim, Madalena and Vesuvio room types only bar & snug area",All other areas,No,"come with pet bed, bowl and a doggy treat bag",,Y ,N/a,Bar/snug area
,"Town Hall Hotel London, a Member of Design Hotels",London,44 20-78710460,,Y,N/A,2,£25,"Elis Restuarant, Hotel Lobby","Bar, Da Terra Restaurant ",Yes,"Bed, bowls etc",,No,n/a,No
,Bvlgari Hotel London.,Knightsbridge London,2071511010,,Y,35Kg,1,£100 per stay,Rooms only ,Everywhere else,No,"- a chewing toy, a carrier bag and a water bottle if staying in a room.
- a chewing toy, a carrier bag, a water bottle, and a blanket if staying in a suite.
Your pets will also have the option to use a large a bowl and a dog bed in a room and an additional large tent in a suite.",Hyde Park,Y ,N/a,No
,The Stratford Hotel Autograph Collection,London Stratford,020 3973 0565,,Y,8-10kg,1,£50 per stay,"Rooms, Lounge, Kitchen E20 Terrace ",Everywhere else (restaurant may allow small wellbehaved dogs). ,No,Dog bed,Olympic park? ,No,N/a,K20 terrace if open but would need to check beforehand 
,Ac Inverness,Inverness,44 1463-211955,,Y,30kg,2,£15 per stay,Left hand side of bar,Right hand side,No,Bowl and bed ,,Y ,N/A,Left hand side of the bar
CYLGWCYC,Courtyard Gatwick,London,0)1293 566300,,Y,No limit,2,£25 per stay,Everywhere except the restuarant,Restuarant ,No,No,,No,N/A,Seperate area not the restuarant 
,Liverpool,Birmingham ,0121 820 6000,,Y,24kg,2,No fee,Lobby Area,Restuarant ,Yes,Beds and Bowls- pre notice required,,Y ,N/A,Lobby area
RCEDIRIR,Residence inn Edinburgh,Edinburgh,44 131 229 7150,,y,N/A,2,£10 per night,All areas of hotel - APART from breakfast area between 6:30am-11am,Breakfast area between breakfast serving times,No,No,Edinburgh Meadows,Y ,N/A,No
,University Arms Cambridge,Cambridge,01223 60 60 66,,Y,20kg,2,£35 per night,Reserved Room & Library,On furniture and resturant and bar ,Yes,No but treats at reception,Parker's Piece ,Y ,N/A,No
,Moxy Aberdeen Aiport,Aberdeen,(+44) 1224 545095,,Y,N/a,N/A,£15 per stay, downstairs lobby,All other areas,Yes,No,,Y ,N/a,Lobby area
,Moxy London ExCel,London,(0) 2070 31 1683,,Y,N/a,N/A,£15 per day,Lobby area,Restuarant/ Kitchen & Breakfast area ,Yes,No,,Y ,N/a,No- can take breakfast to the room or leave dog in the room 
HIKYN1D5,Moxy Milton Keynes,Milton Keynes,(0)1908106288,,Y,Small/ Medium,2,£15 per stay,everywhere,N/A,No,No- but dog menu avaialble ,Campbell Park,Y ,N/a,Yes in the breakfast area but dogs are not allowed at the buffet
,Moxy Plymouth,Plymouth,01752 422237,,Y,N/A,2,£15 per night,Everyhwere,N/a,Yes,No,,N,No,Yes 
,AC Salford Quays,Manchester,,,Y,N/A,2,£25 per pet per night,AC Library,All other areas where food and beverages are consumed including the Restaurant ,No,Dog Bed,City Centre,Y ,N/A,Reception Area or terrace
,St Ermin's Hotel,Westminester London,(0) 207 222 7888,,Y,N/A,1,Free,Common areas on a lead. ,Caxton Restaurant and the bar,Yes ,Dog Bed,,Y- Hotel can also recommend ,N/A,No
,Delta Warkwick,Warkwick,,,N- currenlty closed to new clients,,,,,,,,,,,
,Bankside Hotel,London,(0) 203 9432200,,Y,N/A,2,£75,Everywhere else,Gym,No,Yes dog ammenties offered,,Y,N/A,Yes- ask the team they will find you a relaxed tooked away spot 
,Aloft Excel,London,,,Y,18Kg,1,£0,Bar Area and common areas,Resturant and pool/spa aras,No,No,,Y,N/A,Bar area
BRLONPRB,St Pancras Renaissance ,London,,,Y,10kg,2,£50,Everywhere on a lead,N/A,No,Yes- pre request required,Regent Park and Granary Square,N,N/a,Restuarant 
,Shertaon Park Lane,London,,,Y,N/a,1 medium - large or 2 small,£25 per night,"Smith and Whistle Bar, Reception & Lobby","Other F&B outlets inlcuding club lounge, Mercante Restaurant and Palm Court",No,Yes,Green Park,Y,N.A,No
,Montcalm,London,,,Y,35 Kg,1,£35 per night,Designated areas of the restaurant and cafe & common areas,All other areas,Yes,Beds,,N,N/A,Yes in designated areas  of cafe and restaurant 
,Delta Colchester,Colchester,,,Y,20kg,1,£40,Bar and Lounge Area,All other areas including the main restuarant,No,Bed and bowl,,Y,N/A,Bar and lounge 
,Residence Inn by Marriott London Kensington,London,,,Y,22kg,2,£50,Most other areas of the hotel minus the breakfast area ,Breakfast area,Yes,"£50, which includes a dog bed, bowls, and other essentials for your pets","Holland Park, located just a 20-minute walk away",Y,N/A,No
,The Dixon,London,,,Y,34kg,1,£35 per night,public areas and designated areas of the restaurant (Table 55 and the Café section,N/A,Yes,"complimentary pet beds, food and water dishes",London Bridge Area ? ,No,N/A,designated areas of the restaurant (Table 55 and the Café section
MCPMEHAR,Portsmouth Marriott Hotel,Portmouth,,,Y,10kg ,2,£45 per room,All areas on a lead,N/a,No,No,,Y,Yes but not for toileting ,Yes in designated areas  of restaurant 
,Delta Marriott Bexleyheath Hotel,BexleyHeath,,,N,,,,,,,,,,,
,Marriott Royal Hall Bristol,Bristol,,,N,,,,,,,,,,,
,Moxy Slough,Slough London,,,Y,N/A,2,non-refundable £50.00 and a £10.00 per night cleaning fee,All public areas,Gym,No,Yes prerequest required,Salt Hill Park which is just over 10 minutes walk,Y,N/A,Yes
,Residence Inn Slough,London,,,Y,N/A,2,non-refundable £50.00 and a £10.00 per night cleaning fee,All public areas,Gym,No,Yes prerequest required,Salt Hill Park which is just over 10 minutes walk,Y,N/A,Yes
MCBOHBMM,Bournemouth Highcliff Marriott Hotel,Bournemouth,(0) 1202 557702,,Y,N/A,2,£45,Bar,Restuarant and Lobby area,No,No,,Y,N/a,Bar Area
,COURTYARD EDINBURGH WEST,Edinburgh,0131 526 3210,,Y,Medium size,2,£25 per room,"Public lobby, outside terrace",Restaurant ,Yes,No,,Y,N/a,Lobby Area 
